Nombre,Peso,Categoria,Año,BV,Precio,A,C,V,Tech Base,Flamer,MG,Small Laser,Medium Laser,Large Laser,ER Small Laser,ER Medium Laser,ER Large Laser,Small Pulse Laser,Medium Pulse Laser,Large Pulse Laser,Heavy Small Laser,Heavy Medium Laser,Heavy Large Laser,PPC,ER PPC,Snub-Nose PPC,Heavy PPC,LRM 5,LRM 10,LRM 15,LRM 20,SRM 2,SRM 4,SRM 6,Streak SRM 2,Streak SRM 4,Streak SRM 6,MRM 10,MRM 20,MRM 30,MRM 40,ATM 3,ATM 6,ATM 9,ATM 12,AC 2,AC 5,AC 10,AC 20,Ultra AC 2,Ultra AC 5,Ultra AC 10,Ultra AC 20,LB 2-X,LB 5-X,LB 10-X,LB 20-X,RAC 2,RAC 5,Gauss Rifle,Heavy Gauss,Plasma Rifle / Cannon,Radiadores,TB,PB,Piernas,Blindaje,Disipacion,TLP,Calor,Daño,Reactor,PROPIEDAD,Comprado,Unidad
Adder (Puma)  Adder (Puma),35,Ligero,3010,2083,7021687,6,9,6,Clan,1,26,,,,,8,1,3,5,3,,2,2,,4,,,4,,2,2,,,2,2,,,,,,,,,2,,,,,,,1,,,,1,,,1,,4,,,10,"7,2",115,2,Ferro Fibroso,Double,20,,282,490,XL Engine,Compra,NO
AgroMech MOD AgroMech,35,Ligero,3132,330,1346203,3,5,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,"3,5",56,2,Estandar,Single,1,,1,5,I.C.E. Engine,Compra,NO
AgroMech  AgroMech,35,Ligero,3132,471,1326713,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"7,4",119,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Agrotera AGT-1A Agrotera,50,Medio,3108,1578,13192500,6,9,6,Inner Sphere,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"9,5",152,2,Estandar,Double,20,,23,22,XL Engine,Compra,NO
Akuma AKU-1X Akuma,90,Asalto,3058,1959,9382480,3,5,0,Inner Sphere,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,13,"17,4",279,2,Estandar,Double,26,,41,81,Fusion Engine,Compra,NO
Akuma AKU-1XJ Akuma,90,Asalto,3064,2203,9682955,3,5,3,Inner Sphere,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,10,"17,4",279,2,Estandar,Double,20,,40,83,Fusion Engine,Compra,NO
Akuma AKU-2X Akuma,90,Asalto,3071,2122,11559480,3,5,0,Inner Sphere,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,13,"17,4",279,2,Estandar,Double,26,,33,71,Fusion Engine,Compra,NO
Akuma AKU-2XC Akuma,90,Asalto,3077,2134,13676080,3,5,0,Inner Sphere,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,12,"17,4",279,2,Estandar,Double,24,,30,70,Fusion Engine,Compra,NO
Akuma AKU-2XK Akuma,90,Asalto,3083,2170,11486680,3,5,0,Inner Sphere,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,"17,4",279,2,Estandar,Double,22,,29,37,Fusion Engine,Compra,NO
Albatross ALB-3U Albatross,95,Asalto,3053,1668,25495650,4,6,0,Inner Sphere,,,,2,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,14,"13,0",208,2,Estandar,Double,28,,39,64,XL Engine,Compra,NO
Albatross ALB-3Ur Albatross,95,Asalto,3076,1902,25325900,4,6,0,Inner Sphere,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,"13,0",208,2,Estandar,Double,28,,29,43,XL Engine,Compra,NO
Albatross ALB-4U Albatross,95,Asalto,3063,1907,25425337,4,6,0,Inner Sphere,,,,,,1,2,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,14,"18,3",293,2,Ferro Fibroso,Double,28,,32,64,XL Engine,Compra,NO
Alfar AL-A1 Alfar,55,Medio,2573,1447,5047656,5,8,3,Inner Sphere,,,,3,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"11,2",179,2,Ferro Fibroso,Single,15,,23,37,Fusion Engine,Compra,NO
Annihilator ANH-1A Annihilator,100,Asalto,3009,1434,7672666,2,3,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,18,"12,5",200,2,Estandar,Single,18,,24,60,Fusion Engine,Compra,NO
Annihilator ANH-1BL Annihilator,100,Asalto,3068,1746,9095666,2,3,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,14,"19,2",307,2,Estandar,Double,28,,4,8,Fusion Engine,Compra,NO
Annihilator ANH-1C Annihilator,100,Asalto,3009,1678,7640666,2,3,0,Inner Sphere,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,"15,5",248,2,Estandar,Single,41,,46,50,Fusion Engine,Compra,NO
Annihilator ANH-1D Annihilator,100,Asalto,3009,1741,7100666,2,3,0,Inner Sphere,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,"18,5",296,2,Estandar,Single,41,,46,50,Fusion Engine,Compra,NO
Annihilator ANH-1G Annihilator,100,Asalto,2801,2274,8456666,2,3,0,Inner Sphere,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,"18,5",296,2,Estandar,Double,20,,18,55,Fusion Engine,Compra,NO
Annihilator ANH-1X Annihilator,100,Asalto,2801,1926,9849166,2,3,0,Inner Sphere,,,1,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,10,"19,0",304,2,Estandar,Double,20,,25,69,Fusion Engine,Compra,NO
Annihilator ANH-2A Annihilator,100,Asalto,3048,1595,9668666,2,3,0,Inner Sphere,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,17,"12,5",200,2,Estandar,Single,17,,24,64,Fusion Engine,Compra,NO
Annihilator ANH-3A Annihilator,100,Asalto,3068,1712,12537333,2,3,0,Inner Sphere,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"19,2",307,2,Ferro Fibroso,Double,24,,20,20,Compact Fusion Engine,Compra,NO
